n,count,mpi_p,mpi_t,omp_p
1000,1,0.003911495225,0.003944695,0.00208935475
1000,2,0.0040140152,0.00412273405,0.00206474625
1000,4,0.001133441925,0.0012265444000000001,0.001131986
1000,8,0.0004115105,0.049492001524999996,0.0011395785
10000,1,0.31720924377500004,0.317316412925,0.190929613
10000,2,0.15529209375,0.1559612155,0.098367134
10000,4,0.081777989875,0.082549989225,0.07570154975
10000,8,0.0977472663,0.13401520252500002,0.061980412
100000,1,30.18251377345,30.1832022667,19.11418949725
100000,2,15.587582170975,15.6016356945,9.865386591
100000,4,8.214868307125,8.221818506750001,7.53838151825
100000,8,8.21158492565,8.46152365205,5.96272676675
